"name";"mark";"id"
"dairy farm";"v";"dairy_farm_isherwood_SW"
"dairy farm";"v";"dairy_farm_isherwood_W"
"dairy farm roof";"v";"dairy_farm_SE_roof"
"dairy farm roof";"v";"dairy_farm_SW_roof"
"dairy farm roof";"v";"dairy_farm_isherwood_SE_roof"
"dairy farm roof";"v";"dairy_farm_isherwood_SW_roof"
"daycare center";"v";"s_daycare"
"daycare center roof";"v";"s_daycare_roof"
"dense urban";"v";"urban_13_10"
"dense urban";"v";"urban_13_11"
"dense urban";"v";"urban_13_12"
"dense urban";"v";"urban_13_3"
"dense urban";"v";"urban_13_4"
"dense urban";"v";"urban_13_5"
"dense urban";"v";"urban_13_6"
"dense urban";"v";"urban_13_7"
"dense urban";"v";"urban_13_8"
"dense urban";"v";"urban_13_9"
"dense urban";"v";"urban_14_10"
"dense urban";"v";"urban_14_11"
"dense urban";"v";"urban_14_12"
"dense urban";"v";"urban_14_13"
"dense urban";"v";"urban_14_14"
"dense urban";"v";"urban_14_3"
"dense urban";"v";"urban_14_4"
"dense urban";"v";"urban_14_5"
"dense urban";"v";"urban_14_6"
"dense urban";"v";"urban_14_7"
"dense urban";"v";"urban_14_8"
"dense urban";"v";"urban_14_9"
"derelict property";"v";"bunker_shop_g"
"derelict property";"v";"derelict_property"
"desolate barn";"v";"desolatebarn"
"dispensary";"v";"dispensary"
"dispensary";"v";"dispensary_1"
"dispensary";"v";"dispensary_2"
"dispensary roof";"v";"dispensary_roof"
"dispensary roof";"v";"dispensary_roof_1"
"dispensary roof";"v";"dispensary_roof_2"
"dive shop";"v";"s_dive_shop"
"dive shop roof";"v";"s_dive_shop_roof"
"dojo";"v";"dojo"
"dojo";"v";"dojo_1"
"dojo roof";"v";"dojo_roof"
"dojo roof";"v";"dojo_roof_1"
"dojo roof";"v";"dojo_upper_roof"
"dojo roof";"v";"dojo_upper_roof_1"
"drug lab roof";"v";"drug_lab_roof"
"dump";"v";"dump"
"electronics store";"v";"s_electronics"
"electronics store";"v";"s_electronics_1"
"electronics store";"v";"s_electronicstore"
"electronics store 2nd floor";"v";"s_electronicstore_2ndfloor"
"electronics store roof";"v";"s_electronics_roof"
"electronics store roof";"v";"s_electronics_roof_1"
"electronics store roof";"v";"s_electronicstore_roof"
"empty commercial lot";"v";"emptycommerciallot"
"empty residential lot";"v";"emptyresidentiallot"
"evac shelter A-23";"v";"shelter"
"evac shelter A-23";"v";"shelter_infested"
"evac shelter A-23";"v";"shelter_survivor"
"evac shelter A-23";"v";"shelter_unfinished"
"evac shelter A-23";"v";"shelter_vandal"
"evac shelter B-05";"v";"shelter_1"
"evac shelter B-05";"v";"shelter_1_infested"
"evac shelter B-05";"v";"shelter_1_survivor"
"evac shelter B-05";"v";"shelter_1_unfinished"
"evac shelter B-05";"v";"shelter_1_vandal"
"evac shelter B-19";"v";"shelter_1b"
"evac shelter B-19";"v";"shelter_1b_infested"
"evac shelter B-19";"v";"shelter_1b_survivor"
"evac shelter B-19";"v";"shelter_1b_unfinished"
"evac shelter B-19";"v";"shelter_1b_vandal"
"evac shelter basement A-23";"v";"shelter_under"
"evac shelter basement A-23";"v";"shelter_under_infested"
"evac shelter basement A-23";"v";"shelter_under_unfinished"
"evac shelter basement A-23";"v";"shelter_under_vandal"
"evac shelter basement B-05";"v";"shelter_under_1"
"evac shelter basement B-05";"v";"shelter_under_1_infested"
"evac shelter basement B-05";"v";"shelter_under_1_unfinished"
"evac shelter basement B-05";"v";"shelter_under_1_vandal"
"evac shelter basement B-19";"v";"shelter_under_1b"
"evac shelter basement B-19";"v";"shelter_under_1b_infested"
"evac shelter basement B-19";"v";"shelter_under_1b_unfinished"
"evac shelter basement B-19";"v";"shelter_under_1b_vandal"
"evac shelter basement C-41";"v";"shelter_under_2"
"evac shelter basement C-41";"v";"shelter_under_2_infested"
"evac shelter basement C-41";"v";"shelter_under_2_unfinished"
"evac shelter basement C-41";"v";"shelter_under_2_vandal"
"evac shelter C-41";"v";"shelter_2"
"evac shelter C-41";"v";"shelter_2_infested"
"evac shelter C-41";"v";"shelter_2_survivor"
"evac shelter C-41";"v";"shelter_2_unfinished"
"evac shelter C-41";"v";"shelter_2_vandal"
"evac shelter roof A-23";"v";"shelter_roof"
"evac shelter roof B-05";"v";"shelter_roof_1"
"evac shelter roof B-19";"v";"shelter_roof_1b"
"evac shelter roof C-41";"v";"shelter_roof_2"
"farm barn";"v";"farm_3"
"farm barn";"v";"farm_isherwood_3"
"farm barn hayloft";"v";"farm_isherwood_3_hayloft"
"farm barn roof";"v";"farm_3_roof"
"farm barn roof";"v";"farm_isherwood_3_roof"
"farm house cellar";"v";"farm_isherwood_2_cellar"
"farm house roof";"v";"farm_2_roof"
"farm house roof";"v";"farm_horse_house_1_roof"
"farm house roof";"v";"farm_isherwood_2_roof"
"farm house roof";"v";"horse_farm_isherwood_13_roof"
"fast food restaurant";"v";"s_restaurant_fast"
"fast food restaurant";"v";"s_restaurant_fast_1"
"fast food restaurant roof";"v";"s_restaurant_fast_roof"
"fast food restaurant roof";"v";"s_restaurant_fast_roof_1"
"fema camp";"v";"fema"
"fema camp";"v";"fema_1_3"
"fema camp";"v";"fema_2_1"
"fema camp";"v";"fema_2_2"
"fema camp";"v";"fema_2_3"
"fema camp";"v";"fema_3_1"
"fema camp";"v";"fema_3_2"
"fema camp";"v";"fema_3_3"
"fema camp";"v";"fema_entrance"
"FEMA refugee camp";"v";"FEMA_blc"
"FEMA refugee camp";"v";"FEMA_brc"
"FEMA refugee camp";"v";"FEMA_entrance"
"FEMA refugee camp";"v";"FEMA_le"
"FEMA refugee camp";"v";"FEMA_mid"
"FEMA refugee camp";"v";"FEMA_re"
"FEMA refugee camp";"v";"FEMA_te"
"FEMA refugee camp";"v";"FEMA_tlc"
"FEMA refugee camp";"v";"FEMA_trc"
"field campsite";"v";"campsite_field_biker"
"field campsite";"v";"campsite_field_biker_destroyed"
"fire lookout tower";"v";"ws_fire_lookout_tower_base"
"fire lookout tower";"v";"ws_fire_lookout_tower_f1"
"fire lookout tower";"v";"ws_fire_lookout_tower_f2"
"fire lookout tower";"v";"ws_fire_lookout_tower_f3"
"fire lookout tower";"v";"ws_fire_lookout_tower_f4"
"fire lookout tower";"v";"ws_fire_lookout_tower_f5"
"fire station";"v";"fire_station"
"fire station";"v";"fire_station_1"
"fire station roof";"v";"fire_station_roof"
"fire station roof";"v";"fire_station_roof_1"
"fitness gym";"v";"gym_fitness"
"fitness gym";"v";"gym_fitness_1"
"fitness gym";"v";"gym_fitness_2ndFloor_1"
"fitness gym roof";"v";"gym_fitness_roof"
"fitness gym roof";"v";"gym_fitness_roof_1"
"freshwater research station";"v";"sealab_small_-1"
"freshwater research station";"v";"sealab_small_-2"
"freshwater research station";"v";"sealab_small_-3"
"freshwater research station";"v";"sealab_small_-4"
"freshwater research station";"v";"sealab_small_-5"
"freshwater research station";"v";"sealab_small_roof"
"freshwater research station";"v";"sealab_small_surface"
"fungal bloom";"v";"fungal_bloom"
"fungal flowers";"v";"fungal_flowers"
"fungal tower";"v";"fungal_tower"
"furniture store";"v";"furniture"
"furniture store roof";"v";"furniture_roof"
"furniture store roof";"v";"furniture_upper_roof"
"gambling hall";"v";"gambling_hall"
"gambling hall";"v";"gambling_hall_1"
"gambling hall roof";"v";"gambling_hall_roof"
"gambling hall roof";"v";"gambling_hall_roof_1"
"gambling hall roof";"v";"gambling_hall_upper_roof"
"gaming store";"v";"s_games"
"gaming store roof";"v";"s_games_roof"
"garage - gas station";"v";"garage_gas_1"
"garage roof";"v";"garage_gas_roof_1"
"garage roof";"v";"garage_gas_roof_2"
"garage roof";"v";"garage_gas_roof_3"
"garage roof";"v";"ranch_camp_67_roof"
"garage roof";"v";"s_garage_roof"
"garage roof";"v";"s_garage_roof_1"
"garage roof";"v";"s_garage_roof_2"
"garage roof";"v";"s_garage_upper_roof_2"
"garbage collection point";"v";"trailer_public_00"
"garbage collection point";"v";"trailer_public_00_roof"
"gardening allotment";"v";"cs_gardening_allotment"
"gardening allotment roof";"v";"cs_gardening_allotment_roof"
"gardening supply";"v";"s_gardening"
"gardening supply roof";"v";"s_gardening_roof"
"grocery store";"v";"s_grocery"
"grocery store";"v";"s_grocery_1"
"grocery store roof";"v";"s_grocery_roof"
"grocery store roof";"v";"s_grocery_roof_1"
"gun store 2nd floor";"v";"s_gun_2ndfloor_4"
"gun store 2nd floor";"v";"s_gunstore_2ndfloor"
"hay field";"v";"hayfield_end"
"hay field";"v";"hayfield_straight"
"hay field";"v";"hayfield_turnL"
"hay field";"v";"hayfield_turnR"
"head shop";"v";"headshop"
"head shop roof";"v";"headshop_roof"
"head shop roof";"v";"headshop_upper_roof"
"hedge maze";"v";"park_maze"
"hedge maze";"v";"park_maze_2"
"helicopter pad";"v";"s_air_helicopter_pad"
"home improvement store";"v";"home_improvement"
"home improvement store roof";"v";"home_improvement_roof"
"homeless camp";"v";"homelesscamp"
"homeless camp";"v";"homelesscamp_npc"
"horse stable";"v";"farm_horse_stable_1"
"horse stable";"v";"horse_farm_isherwood_7"
"horse stable hayloft";"v";"farm_horse_stable_1_hayloft"
"horse stable hayloft";"v";"horse_farm_isherwood_7_hayloft"
"horse stable roof";"v";"farm_horse_stable_1_roof"
"horse stable roof";"v";"horse_farm_isherwood_7_roof"
"hot spring";"v";"hot_springs"
"house roof";"v";"2StoryModern03_roof"
"house roof";"v";"2StoryModern04_roof_1"
"house roof";"v";"2StoryModern04_roof_2"
"house roof";"v";"2storyModern01_roof"
"house roof";"v";"2storyModern02_roof"
"house roof";"v";"bungalow01_roof"
"house roof";"v";"bungalow02_roof"
"house roof";"v";"bungalow03_roof"
"house roof";"v";"bungalow04_roof"
"house roof";"v";"bungalow05_roof"
"house roof";"v";"bungalow06_roof"
"house roof";"v";"bungalow07_roof"
"house roof";"v";"bungalow08_roof"
"house roof";"v";"bungalow09_roof"
"house roof";"v";"bungalow10_roof"
"house roof";"v";"bungalow11_roof"
"house roof";"v";"bungalow12_roof"
"house roof";"v";"bungalow13_roof"
"house roof";"v";"bungalow14_roof"
"house roof";"v";"bungalow15_roof"
"house roof";"v";"bungalow16_roof"
"house roof";"v";"bungalow17_roof"
"house roof";"v";"bungalow18_roof"
"house roof";"v";"bungalow19_roof"
"house roof";"v";"bungalow20_roof"
"house roof";"v";"bungalow21_roof"
"house roof";"v";"bungalow22_roof"
"house roof";"v";"bungalow23_roof"
"house roof";"v";"bungalow24_roof"
"house roof";"v";"bungalow25_roof"
"house roof";"v";"duplex_roof"
"house roof";"v";"garden_house_1_roof"
"house roof";"v";"house_01_roof"
"house roof";"v";"house_02_roof"
"house roof";"v";"house_03_roof"
"house roof";"v";"house_04_roof"
"house roof";"v";"house_08_roof"
"house roof";"v";"house_09_roof"
"house roof";"v";"house_10_roof"
"house roof";"v";"house_11_roof"
"house roof";"v";"house_12_roof"
"house roof";"v";"house_13_roof"
"house roof";"v";"house_14_roof"
"house roof";"v";"house_15_roof"
"house roof";"v";"house_16_roof"
"house roof";"v";"house_17_roof"
"house roof";"v";"house_18_roof"
"house roof";"v";"house_19_roof"
"house roof";"v";"house_20_roof"
"house roof";"v";"house_21_roof"
"house roof";"v";"house_22_roof"
"house roof";"v";"house_23_roof"
"house roof";"v";"house_24_roof"
"house roof";"v";"house_25_roof"
"house roof";"v";"house_26_roof"
"house roof";"v";"house_27_roof"
"house roof";"v";"house_28_roof"
"house roof";"v";"house_29_roof"
"house roof";"v";"house_2story_roof"
"house roof";"v";"house_30_roof"
"house roof";"v";"house_31_roof"
"house roof";"v";"house_32_roof"
"house roof";"v";"house_33_roof"
"house roof";"v";"house_34_roof"
"house roof";"v";"house_35_roof"
"house roof";"v";"house_36_roof"
"house roof";"v";"house_37_roof"
"house roof";"v";"house_38_roof"
"house roof";"v";"house_39_roof"
"house roof";"v";"house_40_roof"
"house roof";"v";"house_41_roof"
"house roof";"v";"house_42_roof"
"house roof";"v";"house_crack1_roof"
"house roof";"v";"house_crack3_roof"
"house roof";"v";"house_detatched10_roof"
"house roof";"v";"house_detatched1_roof"
"house roof";"v";"house_detatched2_roof"
"house roof";"v";"house_detatched3_roof"
"house roof";"v";"house_detatched4_roof"
"house roof";"v";"house_detatched5_roof"
"house roof";"v";"house_detatched6_roof"
"house roof";"v";"house_detatched7_roof"
"house roof";"v";"house_detatched8_roof"
"house roof";"v";"house_detatched9_roof"
"house roof";"v";"house_dogs_roof"
"house roof";"v";"house_duplex10_roof"
"house roof";"v";"house_duplex11_roof"
"house roof";"v";"house_duplex2_roof"
"house roof";"v";"house_duplex3_roof"
"house roof";"v";"house_duplex4_roof"
"house roof";"v";"house_duplex5_roof"
"house roof";"v";"house_duplex6_roof"
"house roof";"v";"house_duplex7_roof"
"house roof";"v";"house_duplex8_roof"
"house roof";"v";"house_duplex9_roof"
"house roof";"v";"house_fence01_roof"
"house roof";"v";"house_fence02_roof"
"house roof";"v";"house_fence03_roof"
"house roof";"v";"house_fence04_roof"
"house roof";"v";"house_fence05_roof"
"house roof";"v";"house_fortified_roof"
"house roof";"v";"house_garage2_roof"
"house roof";"v";"house_garage3_roof"
"house roof";"v";"house_garage4_roof"
"house roof";"v";"house_garage5_roof"
"house roof";"v";"house_garage6_roof"
"house roof";"v";"house_garage7_roof"
"house roof";"v";"house_garage8_roof"
"house roof";"v";"house_garage_roof"
"house roof";"v";"house_gardener_roof"
"house roof";"v";"house_inner_garden_roof"
"house roof";"v";"house_modern_1_roof"
"house roof";"v";"house_patio_roof"
"house roof";"v";"house_porch_roof"
"house roof";"v";"house_prepper2_roof"
"house roof";"v";"house_roof"
"house roof";"v";"house_rv_roof"
"house roof";"v";"house_suicide_roof"
"house roof";"v";"house_toolshed_roof"
"house roof";"v";"house_w_1_roof"
"house roof";"v";"house_w_2_roof"
"house roof";"v";"house_w_3_roof"
"house roof";"v";"house_w_4_roof"
"house roof";"v";"house_w_5_roof"
"house roof";"v";"house_w_6_roof"
"house roof";"v";"multi_unit_roof"
"house roof";"v";"rural_house1_roof"
"house roof";"v";"rural_house2_roof"
"hunting blind";"v";"hunting_blind"
"hunting supply store";"v";"s_hunting"
"hunting supply store roof";"v";"s_hunting_roof"
"icecream shop";"v";"icecream_shop"
"icecream shop roof";"v";"icecream_shop_roof"
"incomplete cabin";"v";"campsite_cabin_incomplete"
"internet cafe";"v";"cs_internet_cafe"
"internet cafe roof";"v";"cs_internet_cafe_roof"
"internet cafe roof";"v";"cs_internet_cafe_upper_roof"
"jewelry store";"v";"s_jewelry"
"jewelry store roof";"v";"s_jewelry_roof"
"junkyard";"v";"junkyard_1a"
"junkyard";"v";"junkyard_1b"
"junkyard";"v";"junkyard_2a"
"junkyard";"v";"junkyard_2b"
"junkyard";"v";"junkyard_roof_1a"
"junkyard";"v";"junkyard_roof_1b"
"lab";"v";"microlab_generic_surface"
"lab";"v";"microlab_generic_surface_roof"
"lake";"v";"lake_cabin_water"
"lake";"v";"lake_surface"
"lake (submerged)";"v";"lake_water_cube"
"lake bed (submerged)";"v";"lake_bed"
"lake shore";"v";"lake_shore"
"LAN center";"v";"lancenter"
"LAN center";"v";"lancenter_1"
"LAN center roof";"v";"lancenter_roof"
"LAN center roof";"v";"lancenter_roof_1"
"landfill";"v";"landfill"
"library";"v";"s_library"
"library";"v";"s_library_1"
"library";"v";"s_library_2"
"library";"v";"s_library_3"
"library roof";"v";"s_library_roof"
"library roof";"v";"s_library_roof_1"
"library roof";"v";"s_library_roof_2"
"library roof";"v";"s_library_roof_3"
"lighthouse";"v";"lighthouse_ground"
"lighthouse";"v";"lighthouse_roof"
"lighthouse";"v";"lighthouse_z1"
"lighthouse";"v";"lighthouse_z2"
"lighthouse";"v";"lighthouse_z3"
"lighthouse";"v";"lighthouse_z4"
"lighthouse";"v";"lighthouse_z5"
"liquor store";"v";"s_liquor"
"liquor store roof";"v";"s_liquor_roof"
"lumbermill";"v";"lumbermill_0_0"
"lumbermill";"v";"lumbermill_0_0_ocu"
"lumbermill";"v";"lumbermill_0_1"
"lumbermill";"v";"lumbermill_0_1_ocu"
"lumbermill";"v";"lumbermill_1_0"
"lumbermill";"v";"lumbermill_1_0_ocu"
"lumbermill";"v";"lumbermill_1_1"
"lumbermill";"v";"lumbermill_1_1_ocu"
"lumbermill roof";"v";"lumbermill_0_0_roof"
"lumbermill roof";"v";"lumbermill_0_1_roof"
"lumbermill roof";"v";"lumbermill_1_0_roof"
"lumbermill roof";"v";"lumbermill_1_1_roof"
"mansion";"v";"mansion_+1"
"mansion";"v";"mansion_+1_roof"
"mansion";"v";"mansion_+1d"
"mansion";"v";"mansion_+1u"
"mansion";"v";"mansion_+2"
"mansion";"v";"mansion_+2_roof"
"mansion";"v";"mansion_+2d"
"mansion";"v";"mansion_+2u"
"mansion";"v";"mansion_+3"
"mansion";"v";"mansion_+3_roof"
"mansion";"v";"mansion_+3u"
"mansion";"v";"mansion_+4"
"mansion";"v";"mansion_+4_roof"
"mansion";"v";"mansion_+4d"
"mansion";"v";"mansion_+4u"
"mansion";"v";"mansion_boarded_c1"
"mansion";"v";"mansion_boarded_c1u"
"mansion";"v";"mansion_boarded_c2"
"mansion";"v";"mansion_boarded_c2u"
"mansion";"v";"mansion_boarded_c3"
"mansion";"v";"mansion_boarded_c3u"
"mansion";"v";"mansion_boarded_c4"
"mansion";"v";"mansion_boarded_c4u"
"mansion";"v";"mansion_boarded_e1"
"mansion";"v";"mansion_boarded_e1u"
"mansion";"v";"mansion_boarded_t2"
"mansion";"v";"mansion_boarded_t2_start"
"mansion";"v";"mansion_boarded_t2d"
"mansion";"v";"mansion_boarded_t2d_start"
"mansion";"v";"mansion_boarded_t2u"
"mansion";"v";"mansion_boarded_t4"
"mansion";"v";"mansion_boarded_t4u"
"mansion";"v";"mansion_c1"
"mansion";"v";"mansion_c1_roof"
"mansion";"v";"mansion_c1d"
"mansion";"v";"mansion_c1u"
"mansion";"v";"mansion_c2"
"mansion";"v";"mansion_c2_roof"
"mansion";"v";"mansion_c2d"
"mansion";"v";"mansion_c2u"
"mansion";"v";"mansion_c3"
"mansion";"v";"mansion_c3_roof"
"mansion";"v";"mansion_c3d"
"mansion";"v";"mansion_c3u"
"mansion";"v";"mansion_c4"
"mansion";"v";"mansion_c4_roof"
"mansion";"v";"mansion_c4d"
"mansion";"v";"mansion_c4u"
"mansion";"v";"mansion_c5"
"mansion";"v";"mansion_c5_roof"
"mansion";"v";"mansion_c5d"
"mansion";"v";"mansion_c5u"
"mansion";"v";"mansion_e1"
"mansion";"v";"mansion_e1_roof"
"mansion";"v";"mansion_e1d"
"mansion";"v";"mansion_e1u"
"mansion";"v";"mansion_e2"
"mansion";"v";"mansion_e2_roof"
"mansion";"v";"mansion_e2d"
"mansion";"v";"mansion_e2u"
"mansion";"v";"mansion_t1"
"mansion";"v";"mansion_t1_roof"
"mansion";"v";"mansion_t1d"
"mansion";"v";"mansion_t1u"
"mansion";"v";"mansion_t2"
"mansion";"v";"mansion_t2_roof"
"mansion";"v";"mansion_t2d"
"mansion";"v";"mansion_t2u"
"mansion";"v";"mansion_t4"
"mansion";"v";"mansion_t4_roof"
"mansion";"v";"mansion_t4d"
"mansion";"v";"mansion_t4u"
"mansion";"v";"mansion_t5"
"mansion";"v";"mansion_t5_roof"
"mansion";"v";"mansion_t5d"
"mansion";"v";"mansion_t5u"
"mansion";"v";"mansion_t6"
"mansion";"v";"mansion_t6_roof"
"mansion";"v";"mansion_t6d"
"mansion";"v";"mansion_t6u"
"mansion";"v";"mansion_t7"
"mansion";"v";"mansion_t7_roof"
"mansion";"v";"mansion_t7d"
"mansion";"v";"mansion_t7u"
"meadow";"v";"meadow_core"
"meadow";"v";"meadow_end"
"mi-go encampment";"v";"mi-go_camp1"
"mi-go encampment";"v";"mi-go_camp2"
"mi-go scout tower";"v";"mi-go_scout_tower_1"
"mi-go scout tower";"v";"mi-go_scout_tower_2"
"mi-go scout tower";"v";"mi-go_scout_tower_3"
"mi-go scout tower";"v";"mi-go_scout_tower_4"
"mi-go spire";"v";"mi-go_camp2-1"
"mi-go structure";"v";"mi-go_portal"
"mil. surplus";"v";"mil_surplus"
"mil. surplus";"v";"mil_surplus_1"
"mil. surplus";"v";"mil_surplus_2"
"mil. surplus roof";"v";"mil_surplus_roof"
"mil. surplus roof";"v";"mil_surplus_roof_1"
"mil. surplus roof";"v";"mil_surplus_roof_2"
"military bunker";"v";"bunker"
"military bunker";"v";"bunker_basement_1"
"military bunker";"v";"bunker_roof"
"military outpost";"v";"outpost"
"military outpost";"v";"outpost_cross"
"military outpost roof";"v";"outpost_cross_roof"
"military outpost roof";"v";"outpost_roof"
"mine";"v";"mine_finale"
"mine entrance";"v";"mine_entrance"
"mine entrance";"v";"mine_entrance_loading_zone"
"mine entrance roof";"v";"mine_entrance_loading_zone_roof"
"mine entrance roof";"v";"mine_entrance_roof"
"mine shaft";"v";"mine_shaft_lower"
"mine shaft";"v";"mine_shaft_lower_east"
"mine shaft";"v";"mine_shaft_middle"
"mine shaft";"v";"mine_shaft_middle_east"
"mine tunnels";"v";"mine_amigara_-1_central"
"mine tunnels";"v";"mine_amigara_-1_east"
"mine tunnels";"v";"mine_amigara_-1_west"
"mine tunnels";"v";"mine_amigara_central"
"mine tunnels";"v";"mine_amigara_east"
"mine tunnels";"v";"mine_amigara_finale_central"
"mine tunnels";"v";"mine_amigara_finale_east"
"mine tunnels";"v";"mine_amigara_finale_west"
"mine tunnels";"v";"mine_amigara_west"
"mine tunnels";"v";"mine_spiral_-1_n"
"mine tunnels";"v";"mine_spiral_-1_ne"
"mine tunnels";"v";"mine_spiral_-1_nw"
"mine tunnels";"v";"mine_spiral_-1_s"
"mine tunnels";"v";"mine_spiral_-1_se"
"mine tunnels";"v";"mine_spiral_-1_sw"
"mine tunnels";"v";"mine_spiral_central"
"mine tunnels";"v";"mine_spiral_east"
"mine tunnels";"v";"mine_spiral_finale_n"
"mine tunnels";"v";"mine_spiral_finale_ne"
"mine tunnels";"v";"mine_spiral_finale_nw"
"mine tunnels";"v";"mine_spiral_finale_s"
"mine tunnels";"v";"mine_spiral_finale_se"
"mine tunnels";"v";"mine_spiral_finale_sw"
"mine tunnels";"v";"mine_spiral_west"
"mine tunnels";"v";"mine_tunnel"
"mine tunnels";"v";"mine_wyrms_central"
"mine tunnels";"v";"mine_wyrms_east"
"mine tunnels";"v";"mine_wyrms_finale"
"mine tunnels";"v";"mine_wyrms_west"
"miniature railway";"v";"miniaturerailway_0_0_0"
"miniature railway";"v";"miniaturerailway_0_0_1"
"miniature railway";"v";"miniaturerailway_0_1_0"
